"국가(대륙)별","상품군별","판매유형별","시점",데이터
"미국","컴퓨터 및 주변기기","면세점 이외","2017.1/4",1054
"미국","컴퓨터 및 주변기기","면세점 이외","2017.2/4",946
"미국","컴퓨터 및 주변기기","면세점 이외","2017.3/4",791
"미국","컴퓨터 및 주변기기","면세점 이외","2017.4/4",854
"미국","컴퓨터 및 주변기기","면세점 이외","2018.1/4",2033
"미국","컴퓨터 및 주변기기","면세점 이외","2018.2/4",1553
"미국","컴퓨터 및 주변기기","면세점 이외","2018.3/4",1784
"미국","컴퓨터 및 주변기기","면세점 이외","2018.4/4",1773
"미국","컴퓨터 및 주변기기","면세점 이외","2019.1/4",1298
"미국","컴퓨터 및 주변기기","면세점 이외","2019.2/4",1408
"미국","컴퓨터 및 주변기기","면세점 이외","2019.3/4",1653
"미국","컴퓨터 및 주변기기","면세점 이외","2019.4/4",1383
"미국","컴퓨터 및 주변기기","면세점 이외","2020.1/4",1182
"미국","컴퓨터 및 주변기기","면세점 이외","2020.2/4",1631
"미국","컴퓨터 및 주변기기","면세점 이외","2020.3/4",1871
"미국","컴퓨터 및 주변기기","면세점 이외","2020.4/4",1373
"미국","컴퓨터 및 주변기기","면세점 이외","2021.1/4",1644
"미국","컴퓨터 및 주변기기","면세점 이외","2021.2/4",2118
"미국","컴퓨터 및 주변기기","면세점 이외","2021.3/4",1535
"미국","컴퓨터 및 주변기기","면세점 이외","2021.4/4",731
"미국","컴퓨터 및 주변기기","면세점 이외","2022.1/4",655
"미국","컴퓨터 및 주변기기","면세점 이외","2022.2/4 p)",685
"미국","가전·전자·통신기기","면세점 이외","2017.1/4",2712
"미국","가전·전자·통신기기","면세점 이외","2017.2/4",2402
"미국","가전·전자·통신기기","면세점 이외","2017.3/4",2546
"미국","가전·전자·통신기기","면세점 이외","2017.4/4",2362
"미국","가전·전자·통신기기","면세점 이외","2018.1/4",1672
"미국","가전·전자·통신기기","면세점 이외","2018.2/4",1678
"미국","가전·전자·통신기기","면세점 이외","2018.3/4",1651
"미국","가전·전자·통신기기","면세점 이외","2018.4/4",1834
"미국","가전·전자·통신기기","면세점 이외","2019.1/4",1779
"미국","가전·전자·통신기기","면세점 이외","2019.2/4",1721
"미국","가전·전자·통신기기","면세점 이외","2019.3/4",3059
"미국","가전·전자·통신기기","면세점 이외","2019.4/4",1738
"미국","가전·전자·통신기기","면세점 이외","2020.1/4",1818
"미국","가전·전자·통신기기","면세점 이외","2020.2/4",2822
"미국","가전·전자·통신기기","면세점 이외","2020.3/4",3287
"미국","가전·전자·통신기기","면세점 이외","2020.4/4",2176
"미국","가전·전자·통신기기","면세점 이외","2021.1/4",1923
"미국","가전·전자·통신기기","면세점 이외","2021.2/4",1973
"미국","가전·전자·통신기기","면세점 이외","2021.3/4",1652
"미국","가전·전자·통신기기","면세점 이외","2021.4/4",698
"미국","가전·전자·통신기기","면세점 이외","2022.1/4",207
"미국","가전·전자·통신기기","면세점 이외","2022.2/4 p)",38
"미국","소프트웨어","면세점 이외","2017.1/4",67
"미국","소프트웨어","면세점 이외","2017.2/4",45
"미국","소프트웨어","면세점 이외","2017.3/4",37
"미국","소프트웨어","면세점 이외","2017.4/4",125
"미국","소프트웨어","면세점 이외","2018.1/4",175
"미국","소프트웨어","면세점 이외","2018.2/4",251
"미국","소프트웨어","면세점 이외","2018.3/4",172
"미국","소프트웨어","면세점 이외","2018.4/4",269
"미국","소프트웨어","면세점 이외","2019.1/4",88
"미국","소프트웨어","면세점 이외","2019.2/4",156
"미국","소프트웨어","면세점 이외","2019.3/4",118
"미국","소프트웨어","면세점 이외","2019.4/4",338
"미국","소프트웨어","면세점 이외","2020.1/4",135
"미국","소프트웨어","면세점 이외","2020.2/4",182
"미국","소프트웨어","면세점 이외","2020.3/4",215
"미국","소프트웨어","면세점 이외","2020.4/4",333
"미국","소프트웨어","면세점 이외","2021.1/4",172
"미국","소프트웨어","면세점 이외","2021.2/4",178
"미국","소프트웨어","면세점 이외","2021.3/4",193
"미국","소프트웨어","면세점 이외","2021.4/4",323
"미국","소프트웨어","면세점 이외","2022.1/4",88
"미국","소프트웨어","면세점 이외","2022.2/4 p)",63
"미국","서 적","면세점 이외","2017.1/4",1969
"미국","서 적","면세점 이외","2017.2/4",1511
"미국","서 적","면세점 이외","2017.3/4",1876
"미국","서 적","면세점 이외","2017.4/4",1856
"미국","서 적","면세점 이외","2018.1/4",2089
"미국","서 적","면세점 이외","2018.2/4",1790
"미국","서 적","면세점 이외","2018.3/4",2033
"미국","서 적","면세점 이외","2018.4/4",1977
"미국","서 적","면세점 이외","2019.1/4",2259
"미국","서 적","면세점 이외","2019.2/4",1563
"미국","서 적","면세점 이외","2019.3/4",2596
"미국","서 적","면세점 이외","2019.4/4",1720
"미국","서 적","면세점 이외","2020.1/4",2135
"미국","서 적","면세점 이외","2020.2/4",2407
"미국","서 적","면세점 이외","2020.3/4",2583
"미국","서 적","면세점 이외","2020.4/4",2584
"미국","서 적","면세점 이외","2021.1/4",3088
"미국","서 적","면세점 이외","2021.2/4",2465
"미국","서 적","면세점 이외","2021.3/4",2655
"미국","서 적","면세점 이외","2021.4/4",3073
"미국","서 적","면세점 이외","2022.1/4",2986
"미국","서 적","면세점 이외","2022.2/4 p)",2488
"미국","사무·문구","면세점 이외","2017.1/4",60
"미국","사무·문구","면세점 이외","2017.2/4",42
"미국","사무·문구","면세점 이외","2017.3/4",30
"미국","사무·문구","면세점 이외","2017.4/4",79
"미국","사무·문구","면세점 이외","2018.1/4",58
"미국","사무·문구","면세점 이외","2018.2/4",55
"미국","사무·문구","면세점 이외","2018.3/4",85
"미국","사무·문구","면세점 이외","2018.4/4",83
"미국","사무·문구","면세점 이외","2019.1/4",198
"미국","사무·문구","면세점 이외","2019.2/4",72
"미국","사무·문구","면세점 이외","2019.3/4",83
"미국","사무·문구","면세점 이외","2019.4/4",101
"미국","사무·문구","면세점 이외","2020.1/4",74
"미국","사무·문구","면세점 이외","2020.2/4",85
"미국","사무·문구","면세점 이외","2020.3/4",87
"미국","사무·문구","면세점 이외","2020.4/4",152
"미국","사무·문구","면세점 이외","2021.1/4",1409
"미국","사무·문구","면세점 이외","2021.2/4",373
"미국","사무·문구","면세점 이외","2021.3/4",1275
"미국","사무·문구","면세점 이외","2021.4/4",334
"미국","사무·문구","면세점 이외","2022.1/4",625
"미국","사무·문구","면세점 이외","2022.2/4 p)",587
"미국","음반·비디오·악기","면세점 이외","2017.1/4",1922
"미국","음반·비디오·악기","면세점 이외","2017.2/4",1778
"미국","음반·비디오·악기","면세점 이외","2017.3/4",2281
"미국","음반·비디오·악기","면세점 이외","2017.4/4",2647
"미국","음반·비디오·악기","면세점 이외","2018.1/4",2362
"미국","음반·비디오·악기","면세점 이외","2018.2/4",3014
"미국","음반·비디오·악기","면세점 이외","2018.3/4",3932
"미국","음반·비디오·악기","면세점 이외","2018.4/4",4550
"미국","음반·비디오·악기","면세점 이외","2019.1/4",3857
"미국","음반·비디오·악기","면세점 이외","2019.2/4",5191
"미국","음반·비디오·악기","면세점 이외","2019.3/4",5762
"미국","음반·비디오·악기","면세점 이외","2019.4/4",4786
"미국","음반·비디오·악기","면세점 이외","2020.1/4",5258
"미국","음반·비디오·악기","면세점 이외","2020.2/4",7516
"미국","음반·비디오·악기","면세점 이외","2020.3/4",9854
"미국","음반·비디오·악기","면세점 이외","2020.4/4",10291
"미국","음반·비디오·악기","면세점 이외","2021.1/4",12041
"미국","음반·비디오·악기","면세점 이외","2021.2/4",9541
"미국","음반·비디오·악기","면세점 이외","2021.3/4",10170
"미국","음반·비디오·악기","면세점 이외","2021.4/4",10089
"미국","음반·비디오·악기","면세점 이외","2022.1/4",7316
"미국","음반·비디오·악기","면세점 이외","2022.2/4 p)",8198
"미국","의류 및 패션 관련상품","면세점 이외","2017.1/4",13508
"미국","의류 및 패션 관련상품","면세점 이외","2017.2/4",11004
"미국","의류 및 패션 관련상품","면세점 이외","2017.3/4",11025
"미국","의류 및 패션 관련상품","면세점 이외","2017.4/4",14354
"미국","의류 및 패션 관련상품","면세점 이외","2018.1/4",11699
"미국","의류 및 패션 관련상품","면세점 이외","2018.2/4",12015
"미국","의류 및 패션 관련상품","면세점 이외","2018.3/4",10099
"미국","의류 및 패션 관련상품","면세점 이외","2018.4/4",13540
"미국","의류 및 패션 관련상품","면세점 이외","2019.1/4",12214
"미국","의류 및 패션 관련상품","면세점 이외","2019.2/4",13568
"미국","의류 및 패션 관련상품","면세점 이외","2019.3/4",13273
"미국","의류 및 패션 관련상품","면세점 이외","2019.4/4",16070
"미국","의류 및 패션 관련상품","면세점 이외","2020.1/4",12743
"미국","의류 및 패션 관련상품","면세점 이외","2020.2/4",23154
"미국","의류 및 패션 관련상품","면세점 이외","2020.3/4",21980
"미국","의류 및 패션 관련상품","면세점 이외","2020.4/4",24277
"미국","의류 및 패션 관련상품","면세점 이외","2021.1/4",21303
"미국","의류 및 패션 관련상품","면세점 이외","2021.2/4",24804
"미국","의류 및 패션 관련상품","면세점 이외","2021.3/4",24847
