"지역별(1)","지역별(2)","지역별(3)",상품군별(1),상품군별(2),판매유형별(1),2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4 p)
"합계","소계","소계",합계,소계,계,1526135,1881628,1531212,1290332,1656729,1525174,1208052,1224244,1042774,932840,575319,505011,421606,353963,291336,481202,452744,471927,415256,448904
"합계","소계","소계",합계,소계,면세점,1336372,1655635,1297490,1051987,1410967,1247495,972384,974415,795824,681168,363520,300602,211727,152997,111187,281235,271525,280391,239885,257535
"합계","소계","소계",합계,소계,면세점 이외,189763,225993,233722,238345,245762,277679,235668,249829,246950,251672,211799,204409,209879,200966,180149,199967,181219,191536,175371,191369
"합계","소계","소계",컴퓨터 및 주변기기,소계,계,3670,3827,4142,3814,7722,3589,4274,4622,3805,3174,2943,3288,2944,3195,4044,3205,4260,3769,15307,21489
"합계","소계","소계",컴퓨터 및 주변기기,소계,면세점,1,70,113,0,3497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","소계","소계",컴퓨터 및 주변기기,소계,면세점 이외,3669,3757,4029,3814,4225,3589,4274,4622,3805,3174,2943,3288,2944,3195,4044,3205,4260,3769,15307,21489
"합계","소계","소계",가전·전자·통신기기,소계,계,25419,24180,12866,14052,14965,13136,10929,17682,13503,9246,48922,5594,6059,5258,5223,8717,6149,6788,6080,7456
"합계","소계","소계",가전·전자·통신기기,소계,면세점,17370,15478,4999,5108,4777,5538,4171,10737,6695,4933,45424,2195,1316,781,334,1949,1569,2032,2673,2292
"합계","소계","소계",가전·전자·통신기기,소계,면세점 이외,8049,8702,7867,8944,10188,7598,6758,6945,6808,4313,3498,3399,4743,4477,4889,6768,4580,4756,3407,5164
"합계","소계","소계",가전·전자·통신기기,가전·전자,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4004,5150,5508,6316,5263,7108
"합계","소계","소계",가전·전자·통신기기,가전·전자,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,326,1804,1298,1842,2495,2182
"합계","소계","소계",가전·전자·통신기기,가전·전자,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3678,3346,4210,4474,2768,4926
